Gender_Person1,Gender_Person2,Personality_Person1,Personality_Person2,Communication_Level,Emotional_Intelligence,Trust_Level,Common_Interests_Score,Physical_Attraction_Score,Mutual_Respect_Score,Conflict_Resolution_Skills,Love_Probability
Other,Male,Introvert,Ambivert,Medium,High,High,2,1,10,Poor,0.48
Other,Male,Ambivert,Extrovert,High,High,High,3,3,8,Poor,0.45
Male,Other,Introvert,Ambivert,Low,Low,Low,6,3,7,Poor,0.6
Female,Male,Introvert,Ambivert,Medium,Medium,Medium,2,3,5,Excellent,0.49
Male,Female,Introvert,Extrovert,Medium,Low,Medium,0,7,8,Excellent,0.48
Female,Male,Ambivert,Extrovert,Low,Low,Medium,9,3,1,Excellent,0.41
Other,Male,Extrovert,Introvert,High,High,Medium,4,7,10,Good,0.86
Male,Female,Extrovert,Introvert,Low,Medium,Low,10,10,1,Poor,0.78
Other,Male,Ambivert,Ambivert,High,High,Medium,6,4,10,Poor,0.62
Other,Male,Ambivert,Extrovert,High,High,High,5,6,4,Excellent,0.55
Male,Other,Ambivert,Extrovert,High,Low,Medium,6,10,7,Excellent,0.72
Female,Male,Introvert,Ambivert,Low,Low,Medium,9,6,9,Good,0.75
Female,Male,Introvert,Ambivert,Medium,High,High,1,2,10,Excellent,0.46
Other,Female,Ambivert,Introvert,Medium,Medium,Low,7,8,4,Poor,0.44
Male,Other,Ambivert,Introvert,Low,Low,Medium,10,5,1,Good,0.36
Female,Male,Extrovert,Introvert,Low,Low,Medium,8,2,8,Excellent,0.54
Other,Female,Ambivert,Ambivert,Low,High,High,5,2,8,Poor,0.4
Male,Other,Extrovert,Extrovert,High,High,Medium,4,3,0,Excellent,0.26
Other,Male,Introvert,Ambivert,Medium,High,Low,2,2,10,Good,0.38
Other,Male,Extrovert,Ambivert,Low,Medium,High,8,3,4,Good,0.36
Other,Other,Extrovert,Extrovert,Low,Medium,High,3,3,1,Good,0.38
Male,Other,Ambivert,Introvert,Low,High,High,1,10,0,Excellent,0.34
Male,Male,Extrovert,Introvert,Low,High,Medium,10,7,3,Poor,0.67
Male,Other,Ambivert,Ambivert,Medium,High,Medium,6,3,1,Excellent,0.19
Other,Female,Extrovert,Extrovert,Medium,Medium,Low,0,10,10,Poor,0.61
Male,Male,Extrovert,Ambivert,Medium,High,High,3,3,8,Good,0.48
Male,Female,Introvert,Extrovert,Medium,High,High,7,8,1,Excellent,0.42
Other,Other,Introvert,Introvert,High,High,Medium,7,7,3,Good,0.6
Male,Male,Extrovert,Introvert,Medium,Medium,Medium,4,6,8,Poor,0.54
Other,Female,Introvert,Introvert,Medium,High,High,9,8,0,Poor,0.54
Female,Male,Introvert,Ambivert,Medium,Low,Low,2,0,8,Excellent,0.27
Male,Male,Ambivert,Introvert,Low,High,Medium,1,9,3,Poor,0.62
Other,Male,Ambivert,Introvert,Medium,Low,Low,9,8,5,Good,0.73
Male,Other,Ambivert,Extrovert,High,Medium,Medium,2,10,10,Good,0.63
Female,Female,Introvert,Introvert,Medium,Low,Low,1,1,8,Excellent,0.42
Other,Female,Introvert,Extrovert,High,High,Medium,4,2,7,Poor,0.31
Other,Female,Ambivert,Ambivert,Low,High,Low,8,4,10,Excellent,0.75
Male,Female,Introvert,Introvert,Low,Low,High,4,4,9,Excellent,0.37
Other,Female,Introvert,Ambivert,Low,Medium,Low,7,4,0,Excellent,0.23
